Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,7.859468460083007e-05,0.09837884997510477
16384,7.425546646118164e-05,0.20582683301432284
32768,7.652044296264648e-05,0.399439519938895
65536,9.564161300659179e-05,0.644956972935907
131072,0.00011066198348999023,1.128546468684831
262144,0.00013909339904785156,1.7872512864311776
524288,0.0002270340919494629,2.1998453631942128
1048576,0.00040004253387451174,2.5183710910061086
2097152,0.0008347868919372558,2.436920145849501
4194304,0.0019573092460632322,2.045732911701273
8388608,0.005392062664031983,1.4730938434557497
16777216,0.010638141632080078,1.4772281753911283
33554432,0.022465825080871582,1.3986679043738042
67108864,0.045950543880462644,1.370239034805319
134217728,0.09253965616226197,1.361608265297694
268435456,0.18607468605041505,1.3545240929170388
536870912,0.36917169094085694,1.3656402669223011
1073741824,0.7410754561424255,1.360508655131601
