Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,8.183717727661133e-05,0.09540072848522642
16384,7.376670837402343e-05,0.2074333767725808
32768,7.637739181518555e-05,0.4002763124760095
65536,9.438991546630859e-05,0.6535788853694225
131072,0.00010548830032348633,1.1813576704814932
262144,0.00012818574905395507,1.941231153995108
524288,0.00020993947982788085,2.3786267710301643
1048576,0.00037643909454345705,2.6854562729955447
2097152,0.0007962107658386231,2.5336162332342176
4194304,0.001833963394165039,2.169620629705199
8388608,0.005211079120635986,1.5248962802097596
16777216,0.010404956340789796,1.509214643185701
33554432,0.022323215007781984,1.409285126280165
67108864,0.04535429477691651,1.389084127970047
134217728,0.09135726690292359,1.37894248750453
268435456,0.1840193748474121,1.369953002049264
536870912,0.3655714154243469,1.3786070215369637
1073741824,0.73324955701828,1.3746947731163939
