Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,6.39796257019043e-05,0.1237929484870622
16384,4.868507385253906e-05,0.31565664793545734
32768,5.652904510498047e-05,0.5415344071436207
65536,7.548332214355469e-05,0.8128037509472763
131072,0.0001010894775390625,1.215137155605339
262144,0.0001555204391479492,1.5811120897406368
524288,0.0004373908042907715,1.326498512416127
1048576,0.0007536172866821289,1.30844173281283
2097152,0.0016553759574890136,1.2047098636393154
4194304,0.0036219358444213867,1.0898863015935916
8388608,0.008096575736999512,0.9727841784192639
16777216,0.017301034927368165,0.9079514859159369
33554432,0.04668020009994507,0.6694545539807264
67108864,0.09697697162628174,0.6444880437247841
134217728,0.1944454073905945,0.6428558679770069
268435456,0.3922677874565125,0.6373215949015328
536870912,0.7836560368537903,0.6380361260656737
1073741824,1.5666300654411316,0.6383132111481657
