Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,6.595849990844726e-05,0.12221742594811638
16384,4.8327445983886716e-05,0.31894492576417566
32768,5.619525909423828e-05,0.5462381092994557
65536,7.336139678955078e-05,0.8358409576634772
131072,9.888410568237305e-05,1.2446865257255966
262144,0.0001490473747253418,1.6497429506446686
524288,0.00042916536331176757,1.3191624737107968
1048576,0.0007224559783935546,1.368688585172911
2097152,0.0016050100326538085,1.24226410283926
4194304,0.0035003900527954103,1.1262012964779924
8388608,0.008032453060150147,0.9811927666265916
16777216,0.016957020759582518,0.9263483720712289
33554432,0.04614969491958618,0.6771558221706586
67108864,0.09518824815750122,0.6566107229056919
134217728,0.19208166599273682,0.6507742692634928
268435456,0.3875234842300415,0.6451234717165256
536870912,0.7753363966941833,0.644882216987966
1073741824,1.5494956254959107,0.6453718086700686
