Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,0.00010061264038085938,0.08816540748686352
16384,7.613897323608399e-05,0.22834828283422323
32768,8.559226989746094e-05,0.3977391423588842
65536,9.578466415405273e-05,0.6499561464513597
131072,0.00014623403549194336,0.8623373288779362
262144,0.0002503514289855957,1.02765038366819
524288,0.0004737973213195801,1.075624450385043
1048576,0.0015839576721191407,0.6568314357967465
2097152,0.0029220104217529295,0.6826934215779399
4194304,0.006160533428192139,0.6453805172656734
8388608,0.012614214420318603,0.630638369052076
16777216,0.025841808319091795,0.6148097078108579
33554432,0.05263053178787232,0.6033660954239165
67108864,0.10553696155548095,0.6017635322563476
134217728,0.21171380281448365,0.5999322518998108
268435456,0.4251626253128052,0.597530074862161
536870912,0.8483711123466492,0.5990737509716608
1073741824,1.7115641236305237,0.5933758922921519
