Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,0.00021235942840576173,0.04159242139719467
16384,0.00014200210571289063,0.12457060109281179
32768,0.0001416444778442383,0.23905710069783614
65536,0.00018024444580078125,0.35350813844076256
131072,0.00028228759765625,0.4542669069260848
262144,0.00043785572052001953,0.5877636323618344
524288,0.0008989453315734863,0.5656658195876958
1048576,0.0029282569885253906,0.36839206513949435
2097152,0.0056754350662231445,0.3527634513788897
4194304,0.012588882446289062,0.3197847876793659
8388608,0.024572551250457764,0.3226869198889878
16777216,0.04946714639663696,0.3202183189150488
33554432,0.09938687086105347,0.31897072481621314
67108864,0.19937663078308104,0.3181274241777209
134217728,0.39929393529891966,0.3179523777751139
268435456,0.8183298707008362,0.31006453908224574
536870912,1.699658453464508,0.2982259362474874
1073741824,3.403207576274872,0.29775001866940254
