Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,0.0001267671585083008,0.07393061756240274
16384,8.159875869750977e-05,0.19965197258973297
32768,8.224248886108398e-05,0.39648910578549257
65536,8.040666580200195e-05,0.769611589568439
131072,9.80377197265625e-05,1.2676670028244899
262144,0.00012849569320678712,1.9500059298728
524288,0.00020771026611328126,2.4180161199137458
1048576,0.00036813020706176757,2.726353348443975
2097152,0.0010532855987548829,1.9392383424432196
4194304,0.0017742872238159179,2.241167316329998
8388608,0.003709590435028076,2.186601847203818
16777216,0.006564664840698242,2.3933147479795496
33554432,0.011994946002960204,2.6064987093005145
67108864,0.023686301708221436,2.638883702863061
134217728,0.04699782133102417,2.6598185416254125
268435456,0.09378668069839477,2.6656689695932627
536870912,0.18802363872528077,2.6592792906620053
1073741824,0.3749658465385437,2.6669319241276876
