Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,0.00012352466583251954,0.07583848045158945
16384,0.00010176897048950196,0.17781195633200458
32768,7.450580596923828e-05,0.41056383761619786
65536,8.600950241088867e-05,0.7214927643203513
131072,0.00010603666305541992,1.1711507147862859
262144,0.00014237165451049804,1.7597485228075787
524288,0.0002346038818359375,2.1236955701800904
1048576,0.000420224666595459,2.372104633679126
2097152,0.0011127829551696778,1.837415373000534
4194304,0.0018049955368041992,2.1900217135566367
8388608,0.003658139705657959,2.2257918791961777
16777216,0.006202101707458496,2.5228168593028375
33554432,0.011957919597625733,2.6156818886977726
67108864,0.023478806018829346,2.6622842451173456
134217728,0.04676895141601563,2.6729847669084963
268435456,0.09320883750915528,2.682202681804052
536870912,0.18612933158874512,2.6863490461324324
1073741824,0.3721127986907959,2.68737632077109
