Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,6.974935531616211e-05,0.11233378488833738
16384,5.46574592590332e-05,0.2812648417221443
32768,6.206035614013672e-05,0.4944337969642011
65536,7.946491241455078e-05,0.7754726735817513
131072,0.00010129213333129883,1.2225806349682569
262144,0.00016433000564575195,1.5111889569880774
524288,0.00043056011199951174,1.3014491216970725
1048576,0.0007598876953125,1.321786251267647
2097152,0.0016360521316528321,1.2147880572827139
4194304,0.003583192825317383,1.1006912877375874
8388608,0.008407664299011231,0.9344939221256462
16777216,0.017834174633026122,0.8792609579332756
33554432,0.03792382478713989,0.8262747509506276
67108864,0.07785413265228272,0.8052895540287419
134217728,0.15947664976119996,0.7858747632133316
268435456,0.3219571948051453,0.7785035081272598
536870912,0.6468345642089843,0.7749686056323932
1073741824,1.294392728805542,0.7745469364858997
