Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,9.49263572692871e-05,0.08418147970575993
16384,8.100271224975586e-05,0.19759376373336554
32768,0.00012848377227783203,0.3088999096259497
65536,9.62376594543457e-05,0.6413232807250728
131072,0.00015485286712646484,0.937624888287875
262144,0.0001927971839904785,1.3213118377431987
524288,0.00068817138671875,0.953141775791476
1048576,0.0011193633079528808,0.9153832026110298
2097152,0.0030010223388671877,0.6594447018029624
4194304,0.007877957820892335,0.5162608655445301
8388608,0.015251171588897706,0.5158151301399396
16777216,0.03141167163848877,0.49883885274519574
33554432,0.06396812200546265,0.48907346179283573
67108864,0.12997784614562988,0.4813661711245186
134217728,0.2625494241714478,0.47659789630819943
268435456,0.530703353881836,0.471553631413468
536870912,1.0813722610473633,0.46293394313576564
1073741824,2.210939955711365,0.45270437320783846
