Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,5.692243576049805e-05,0.13584218871597747
16384,4.825592041015625e-05,0.3174641164037813
32768,5.4383277893066405e-05,0.5623057717046633
65536,7.466077804565429e-05,0.8286770570179234
131072,0.0001043081283569336,1.1903157173784424
262144,0.0001725912094116211,1.4383116023424414
524288,0.0005815029144287109,0.9427301299624686
1048576,0.0009459137916564941,1.042632819007594
2097152,0.0025406837463378905,0.7727791887188183
4194304,0.005806338787078857,0.676577281858103
8388608,0.012620186805725098,0.6206741166073523
16777216,0.028303766250610353,0.5526121633712564
33554432,0.058501267433166505,0.534849642202266
67108864,0.1191034197807312,0.525352367843036
134217728,0.24068745374679565,0.5199633467082343
268435456,0.4837202072143555,0.5174464679089007
536870912,0.9698213338851929,0.516179933220559
1073741824,1.9421943545341491,0.5155172586133902
