Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,6.378889083862305e-05,0.12137948806723689
16384,5.267858505249023e-05,0.29246716778741183
32768,6.198883056640625e-05,0.495168879648847
65536,8.335113525390626e-05,0.7439500424982021
131072,0.00011752843856811523,1.0561106141699548
262144,0.0001974344253540039,1.2545844381979188
524288,0.0006732463836669922,0.8270996787025069
1048576,0.0010842323303222657,0.908149674409412
2097152,0.0026258111000061037,0.7490972734571134
4194304,0.005657458305358886,0.6928290175639147
8388608,0.01245119571685791,0.6289940002491157
16777216,0.027854573726654053,0.5616646710746711
33554432,0.05737200975418091,0.54536656848939
67108864,0.11688385009765626,0.5353195281780181
134217728,0.2362565279006958,0.5297168069080973
268435456,0.47479686737060545,0.5271777253984056
536870912,0.9523539662361145,0.525649470519352
1073741824,1.9072171330451966,0.5249623327614018
