Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,7.815361022949219e-05,0.10141431136079382
16384,7.054805755615234e-05,0.21731102047352252
32768,7.579326629638671e-05,0.4033637713969333
65536,9.006261825561523e-05,0.6851916062107788
131072,9.83119010925293e-05,1.2581105618524187
262144,0.00012688636779785157,1.984670651419129
524288,0.00019747018814086914,2.546718958004892
1048576,0.00034008026123046877,2.9706503415996055
2097152,0.0007393717765808106,2.7523476466855414
4194304,0.001935434341430664,2.059898838379084
8388608,0.005476617813110351,1.4626659318126047
16777216,0.010509645938873291,1.4961044980502503
33554432,0.022284817695617676,1.4112444810074207
67108864,0.04534671306610107,1.3894452291192738
134217728,0.09148620367050171,1.3770949793319534
268435456,0.18269091844558716,1.380362188843248
536870912,0.3644022226333618,1.3830408719769514
1073741824,0.7304857850074769,1.3801146717642705
