Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,0.00022706985473632812,0.033801603494088575
16384,0.00026934146881103517,0.05998865574063703
32768,0.0002330660820007324,0.13710957906457927
65536,0.0002437114715576172,0.2571980943892487
131072,0.0002703666687011719,0.47020280167687395
262144,0.0003701448440551758,0.7109942385170362
524288,0.0004326343536376953,1.1723822471099898
1048576,0.000770413875579834,1.3444719013135695
2097152,0.0022814393043518065,0.8709024581961717
4194304,0.005640256404876709,0.7818744729719704
8388608,0.009668946266174316,0.8341418776480694
16777216,0.01927891969680786,0.8147813667184254
33554432,0.04649996757507324,0.6792308515928225
67108864,0.10388063192367554,0.6035183683028456
134217728,0.22153165340423583,0.5652938459200703
268435456,0.4530274510383606,0.5528468838602715
536870912,0.9103328108787536,0.5503882384252918
1073741824,1.8114181995391845,0.5532239122196115
