Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,0.00010423660278320312,0.07352395911835526
16384,9.694099426269532e-05,0.15830260994549547
32768,0.00010647773742675782,0.28685473503764997
65536,0.00013763904571533202,0.4526559354912811
131072,0.00018358230590820312,0.6793049044060706
262144,0.0002692461013793945,0.9097106847486062
524288,0.0006342887878417969,0.9395937910596984
1048576,0.0009567499160766602,1.0609942436401787
2097152,0.0020285844802856445,0.9813250092246244
4194304,0.0038645029067993163,1.029034432935261
8388608,0.008375048637390137,0.9462759492537904
16777216,0.017954492568969728,0.880494420399554
33554432,0.04866185188293457,0.642196469925073
67108864,0.10000557899475097,0.6249772784884677
134217728,0.19917550086975097,0.6276000667703785
268435456,0.39737064838409425,0.6291382702790931
536870912,0.7880410194396973,0.6344857016194808
1073741824,1.5710928916931153,0.6365009180779164
