Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,9.855031967163086e-05,0.07999249368730597
16384,8.934736251831055e-05,0.17205384646016636
32768,0.00012063980102539062,0.292349510661814
65536,0.00010826587677001954,0.5662171319698963
131072,0.00015321969985961914,0.8376025838023133
262144,0.00020194053649902344,1.235468753108429
524288,0.0006000876426696777,1.009823533598858
1048576,0.001068413257598877,1.0770871757899425
2097152,0.0028610706329345705,0.8140543952206867
4194304,0.005921876430511475,0.6999557535748583
8388608,0.01578667163848877,0.5489155538432409
16777216,0.02881046533584595,0.5469594755204107
33554432,0.07668689489364625,0.40886945703945204
67108864,0.154339599609375,0.40513514638074233
134217728,0.30929378271102903,0.4041484989583908
268435456,0.6198943376541137,0.40329775505116955
536870912,1.2384907960891725,0.403719248597403
1073741824,2.4798622608184813,0.4032484757761069
