Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,0.00011142492294311524,0.06933987503544863
16384,0.00010118484497070312,0.1517364800670155
32768,0.00010645389556884766,0.29108677841998276
65536,0.00011190176010131836,0.5491116879011144
131072,0.00017631053924560547,0.7451777302996521
262144,0.00022886991500854493,1.0896384733358941
524288,0.0005884647369384765,1.0157590597033195
1048576,0.0009818792343139649,1.0290273914306636
2097152,0.0021222829818725586,0.9324052307369799
4194304,0.005377936363220215,0.7313546270694552
8388608,0.012543630599975587,0.6250949571458583
16777216,0.027980494499206542,0.5601455265961247
33554432,0.07349427938461303,0.4252081286301225
67108864,0.15134308338165284,0.4129948915219832
134217728,0.3109703779220581,0.4019690671867262
268435456,0.6145405530929565,0.4068140837303102
536870912,1.2251635551452638,0.40811046208040136
1073741824,2.473354423046112,0.40431072617899505
